Theorem,thm90_tac3_norepair.log,thm90_tac3_repair_c1.log,thm90_tac3_repair_c2.log,thm90_tac3_repair_c3.log
LW_val_0000.lean_workbook_plus_2,Failed,N/A,N/A,N/A
LW_val_0001.lean_workbook_plus_6,Proved,N/A,N/A,N/A
LW_val_0002.lean_workbook_plus_17,Failed,N/A,N/A,N/A
LW_val_0003.lean_workbook_plus_17,Failed,N/A,N/A,N/A
LW_val_0004.lean_workbook_plus_17,Failed,N/A,N/A,N/A
LW_val_0005.lean_workbook_plus_17,Failed,N/A,N/A,N/A
LW_val_0006.lean_workbook_plus_21,Failed,N/A,N/A,N/A
LW_val_0007.lean_workbook_plus_24,Failed,N/A,N/A,N/A
LW_val_0008.lean_workbook_plus_24,Failed,N/A,N/A,N/A
LW_val_0010.lean_workbook_plus_26,Failed,N/A,N/A,N/A
LW_val_0011.lean_workbook_plus_29,Timeout,N/A,N/A,N/A
LW_val_0012.lean_workbook_plus_33,Failed,N/A,N/A,N/A
LW_val_0013.lean_workbook_plus_33,Failed,N/A,N/A,N/A
LW_val_0014.lean_workbook_plus_35,Failed,N/A,N/A,N/A
LW_val_0015.lean_workbook_plus_39,Failed,N/A,N/A,N/A
LW_val_0016.lean_workbook_plus_40,Failed,N/A,N/A,N/A
LW_val_0017.lean_workbook_plus_40,Failed,N/A,N/A,N/A
LW_val_0018.lean_workbook_plus_40,Failed,N/A,N/A,N/A
LW_val_0019.lean_workbook_plus_40,Failed,N/A,N/A,N/A
LW_val_0021.lean_workbook_plus_46,Proved,N/A,N/A,N/A
LW_val_0022.lean_workbook_plus_48,Proved,N/A,N/A,N/A
LW_val_0023.lean_workbook_plus_49,Failed,N/A,N/A,N/A
LW_val_0024.lean_workbook_plus_49,Failed,N/A,N/A,N/A
LW_val_0025.lean_workbook_plus_50,Proved,N/A,N/A,N/A
LW_val_0026.lean_workbook_plus_52,Failed,N/A,N/A,N/A
LW_val_0027.lean_workbook_plus_52,Failed,N/A,N/A,N/A
LW_val_0028.lean_workbook_plus_55,Failed,N/A,N/A,N/A
LW_val_0030.lean_workbook_plus_62,Failed,N/A,N/A,N/A
LW_val_0031.lean_workbook_plus_62,Failed,N/A,N/A,N/A
LW_val_0032.lean_workbook_plus_75,Failed,N/A,N/A,N/A
LW_val_0033.lean_workbook_plus_86,Proved,N/A,N/A,N/A
LW_val_0034.lean_workbook_plus_93,Failed,N/A,N/A,N/A
LW_val_0035.lean_workbook_plus_93,Failed,N/A,N/A,N/A
LW_val_0036.lean_workbook_plus_93,Failed,N/A,N/A,N/A
LW_val_0037.lean_workbook_plus_99,Failed,N/A,N/A,N/A
LW_val_0038.lean_workbook_plus_106,Proved,N/A,N/A,N/A
LW_val_0039.lean_workbook_plus_117,Failed,N/A,N/A,N/A
LW_val_0040.lean_workbook_plus_125,Failed,N/A,N/A,N/A
LW_val_0041.lean_workbook_plus_125,Failed,N/A,N/A,N/A
LW_val_0042.lean_workbook_plus_125,Failed,N/A,N/A,N/A
LW_val_0043.lean_workbook_plus_128,Failed,N/A,N/A,N/A
LW_val_0045.lean_workbook_plus_128,Failed,N/A,N/A,N/A
LW_val_0047.lean_workbook_plus_135,Failed,N/A,N/A,N/A
LW_val_0048.lean_workbook_plus_137,Failed,N/A,N/A,N/A
LW_val_0049.lean_workbook_plus_138,Failed,N/A,N/A,N/A
LW_val_0050.lean_workbook_plus_139,Failed,N/A,N/A,N/A
LW_val_0051.lean_workbook_plus_140,Failed,N/A,N/A,N/A
LW_val_0052.lean_workbook_plus_143,Proved,N/A,N/A,N/A
LW_val_0053.lean_workbook_plus_147,Failed,N/A,N/A,N/A
LW_val_0054.lean_workbook_plus_147,Failed,N/A,N/A,N/A
LW_val_0055.lean_workbook_plus_162,Failed,N/A,N/A,N/A
LW_val_0056.lean_workbook_plus_162,Failed,N/A,N/A,N/A
LW_val_0057.lean_workbook_plus_162,Failed,N/A,N/A,N/A
LW_val_0058.lean_workbook_plus_162,Failed,N/A,N/A,N/A
LW_val_0059.lean_workbook_plus_170,Failed,Failed,Failed,Failed
LW_val_0060.lean_workbook_plus_170,Failed,N/A,N/A,N/A
LW_val_0061.lean_workbook_plus_172,Failed,N/A,N/A,N/A
LW_val_0062.lean_workbook_plus_172,Failed,N/A,N/A,N/A
LW_val_0063.lean_workbook_plus_176,Failed,N/A,N/A,N/A
LW_val_0064.lean_workbook_plus_187,Failed,N/A,N/A,N/A
LW_val_0065.lean_workbook_plus_189,Failed,N/A,N/A,N/A
LW_val_0066.lean_workbook_plus_189,Failed,N/A,N/A,N/A
LW_val_0067.lean_workbook_plus_189,Failed,N/A,N/A,N/A
LW_val_0068.lean_workbook_plus_193,Proved,N/A,N/A,N/A
LW_val_0069.lean_workbook_plus_194,Failed,N/A,N/A,N/A
LW_val_0070.lean_workbook_plus_196,Failed,N/A,N/A,N/A
LW_val_0071.lean_workbook_plus_196,Failed,N/A,N/A,N/A
LW_val_0072.lean_workbook_plus_220,Failed,N/A,N/A,N/A
LW_val_0073.lean_workbook_plus_222,Failed,N/A,N/A,N/A
LW_val_0074.lean_workbook_plus_232,Failed,N/A,N/A,N/A
LW_val_0075.lean_workbook_plus_232,Failed,N/A,N/A,N/A
LW_val_0076.lean_workbook_plus_238,Failed,N/A,N/A,N/A
LW_val_0077.lean_workbook_plus_238,Failed,N/A,N/A,N/A
LW_val_0078.lean_workbook_plus_244,Failed,N/A,N/A,N/A
LW_val_0080.lean_workbook_plus_250,Proved,N/A,N/A,N/A
LW_val_0081.lean_workbook_plus_263,Failed,N/A,N/A,N/A
LW_val_0082.lean_workbook_plus_263,Failed,N/A,N/A,N/A
LW_val_0083.lean_workbook_plus_271,Failed,N/A,N/A,N/A
LW_val_0084.lean_workbook_plus_271,Failed,N/A,N/A,N/A
LW_val_0085.lean_workbook_plus_279,Failed,N/A,N/A,N/A
LW_val_0086.lean_workbook_plus_279,Failed,N/A,N/A,N/A
LW_val_0088.lean_workbook_plus_291,Failed,N/A,N/A,N/A
LW_val_0089.lean_workbook_plus_296,Failed,N/A,N/A,N/A
LW_val_0091.lean_workbook_plus_296,Failed,N/A,N/A,N/A
LW_val_0092.lean_workbook_plus_298,Proved,N/A,N/A,N/A
